"booker_ip_ufi","hotel_ufi","check_month","book_count","from_lat","from_lon","to_lat","to_lon","distance"
-126693,-126693,11,3024,41.8959,12.4826,41.8959,12.4826,0
-372490,-372490,3,3024,41.3871,2.17001,41.3871,2.17001,0
-2960561,-121726,1,3011,55.7522,37.6156,45.4643,9.18878,2285.68
20019371,20015725,7,3010,41.0936,-73.4192,32.7125,-117.161,3956
-2608431,-1456928,6,2993,51.5167,-0.0833333,48.8562,2.34764,342.699
-381535,-372490,5,2984,40.4,-3.68333,41.3871,2.17001,503.989
-2960561,-1456928,3,2965,55.7522,37.6156,48.8562,2.34764,2486.43
-372490,-372490,9,2961,41.3871,2.17001,41.3871,2.17001,0
-774541,-755070,2,2957,41.0167,28.9667,41.0088,28.9682,0.887409
-2960561,-372490,9,2956,55.7522,37.6156,41.3871,2.17001,3009.62
-2403009,-2403010,6,2954,3.18333,101.7,3.14526,101.697,4.24627
-789552,-782831,12,2953,29.3697,47.9783,25.2703,55.3075,855.278
-2880493,-2996338,8,2937,59.8667,30.25,59.9391,30.3157,8.84487
-1746443,-1746443,8,2930,52.5204,13.4094,52.5204,13.4094,0
-1354207,-1353149,8,2926,22.2833,114.15,22.2832,114.173,2.36652
-2608431,-1456928,3,2911,51.5167,-0.0833333,48.8562,2.34764,342.699
408663,900040280,8,2902,24.6556,46.6983,24.6399,46.7246,3.18002
20019371,20023488,3,2900,41.0936,-73.4192,28.5353,-81.3833,1572.61
20019371,20014181,11,2882,41.0936,-73.4192,34.0522,-118.243,3982.25
-1456928,-1456928,8,2850,48.8562,2.34764,48.8562,2.34764,0
-372490,-372490,2,2843,41.3871,2.17001,41.3871,2.17001,0
-2960561,-2996338,2,2820,55.7522,37.6156,59.9391,30.3157,634.407
20019371,20131185,7,2815,41.0936,-73.4192,29.4239,-98.4933,2606.54
-2403009,-2403010,8,2812,3.18333,101.7,3.14526,101.697,4.24627
-2608431,-1456928,8,2808,51.5167,-0.0833333,48.8562,2.34764,342.699
-2960561,-1456928,9,2800,55.7522,37.6156,48.8562,2.34764,2486.43
-2608431,-1456928,5,2798,51.5167,-0.0833333,48.8562,2.34764,342.699
-2608431,-1456928,10,2795,51.5167,-0.0833333,48.8562,2.34764,342.699
-1594675,-1594675,9,2791,-31.9515,115.858,-31.9515,115.858,0
20019371,20014181,6,2783,41.0936,-73.4192,34.0522,-118.243,3982.25
-1354207,-1353149,7,2782,22.2833,114.15,22.2832,114.173,2.36652
408663,-3096949,4,2781,24.6556,46.6983,21.4225,39.8262,789.576
-2960561,-1829149,1,2778,55.7522,37.6156,48.1373,11.5756,1959.85
20019371,20014181,2,2775,41.0936,-73.4192,34.0522,-118.243,3982.25
419198,-1502554,3,2770,53.3267,-6.24472,53.3467,-6.259,2.41758
20019371,20131185,3,2768,41.0936,-73.4192,29.4239,-98.4933,2606.54
20019371,20014181,7,2766,41.0936,-73.4192,34.0522,-118.243,3982.25
20019371,20015732,10,2764,41.0936,-73.4192,37.775,-122.418,4168.8
-1603135,-1603135,7,2764,-33.8705,151.209,-33.8705,151.209,0
9026906,-534433,9,2762,52.25,21,52.2296,21.0088,2.34618
-1354207,-1353149,5,2760,22.2833,114.15,22.2832,114.173,2.36652
-372490,-372490,12,2759,41.3871,2.17001,41.3871,2.17001,0
-1603135,-1603135,2,2757,-33.8705,151.209,-33.8705,151.209,0
-1746443,-1746443,9,2757,52.5204,13.4094,52.5204,13.4094,0
-126693,-126693,9,2747,41.8959,12.4826,41.8959,12.4826,0
-2880493,-2625660,1,2745,59.8667,30.25,59.4385,24.7555,312.239
-118193,-126693,5,2741,45.4667,9.2,41.8959,12.4826,476.697
-2608431,-1456928,7,2741,51.5167,-0.0833333,48.8562,2.34764,342.699
408663,-784833,6,2736,24.6556,46.6983,26.2361,50.5831,427.796
-1907161,-1353149,8,2731,23.1269,113.265,22.2832,114.173,132.197
-2960561,-1995499,5,2731,55.7522,37.6156,48.2085,16.3728,1669.49
-1354207,-1353149,6,2730,22.2833,114.15,22.2832,114.173,2.36652
-1354207,-1353149,3,2723,22.2833,114.15,22.2832,114.173,2.36652
-1603135,-1603135,1,2722,-33.8705,151.209,-33.8705,151.209,0
-372490,-390625,3,2719,41.3871,2.17001,40.4167,-3.70342,505.177
408663,-785169,3,2716,24.6556,46.6983,25.2867,51.5333,492.367
343460,-782831,2,2715,21.5503,39.2192,25.2703,55.3075,1691.72
408663,900040280,9,2706,24.6556,46.6983,24.6399,46.7246,3.18002
-2960561,-1995499,12,2701,55.7522,37.6156,48.2085,16.3728,1669.49
-2880493,-2996338,6,2701,59.8667,30.25,59.9391,30.3157,8.84487
20019371,20015725,6,2700,41.0936,-73.4192,32.7125,-117.161,3956
-785169,-782831,6,2696,25.2867,51.5333,25.2703,55.3075,379.477
-785169,-782831,5,2696,25.2867,51.5333,25.2703,55.3075,379.477
-1603135,-1603135,4,2694,-33.8705,151.209,-33.8705,151.209,0
-1594675,-1594675,8,2690,-31.9515,115.858,-31.9515,115.858,0
408663,-3096949,9,2686,24.6556,46.6983,21.4225,39.8262,789.576
-2960561,-372490,5,2675,55.7522,37.6156,41.3871,2.17001,3009.62
-2960561,-372490,6,2672,55.7522,37.6156,41.3871,2.17001,3009.62
20019371,20015732,11,2672,41.0936,-73.4192,37.775,-122.418,4168.8
-679069,-666610,9,2671,-23.4667,-46.65,-22.9107,-43.2094,357.053
-381535,-372490,3,2670,40.4,-3.68333,41.3871,2.17001,503.989
381118,-782831,5,2669,23.62,58.5903,25.2703,55.3075,379.586
-372490,-390625,5,2665,41.3871,2.17001,40.4167,-3.70342,505.177
-782499,-782066,11,2658,25.2625,55.2944,24.4667,54.3667,128.801
-2608431,-1456928,9,2657,51.5167,-0.0833333,48.8562,2.34764,342.699
-1603135,-1603135,6,2647,-33.8705,151.209,-33.8705,151.209,0
-2960561,-126693,7,2642,55.7522,37.6156,41.8959,12.4826,2376.37
-2960561,-1456928,7,2641,55.7522,37.6156,48.8562,2.34764,2486.43
-2880493,-2996338,3,2639,59.8667,30.25,59.9391,30.3157,8.84487
-2960561,-126693,5,2638,55.7522,37.6156,41.8959,12.4826,2376.37
20019371,20014181,5,2637,41.0936,-73.4192,34.0522,-118.243,3982.25
20019371,20015732,2,2628,41.0936,-73.4192,37.775,-122.418,4168.8
20019371,20015725,5,2628,41.0936,-73.4192,32.7125,-117.161,3956
-782499,-782066,1,2628,25.2625,55.2944,24.4667,54.3667,128.801
-2608431,-1456928,2,2627,51.5167,-0.0833333,48.8562,2.34764,342.699
-2960561,-126693,9,2626,55.7522,37.6156,41.8959,12.4826,2376.37
-2960561,-126693,4,2625,55.7522,37.6156,41.8959,12.4826,2376.37
20019371,20014181,10,2623,41.0936,-73.4192,34.0522,-118.243,3982.25
-2960561,-1456928,10,2620,55.7522,37.6156,48.8562,2.34764,2486.43
-2960561,-1456928,1,2617,55.7522,37.6156,48.8562,2.34764,2486.43
20019371,20131185,6,2608,41.0936,-73.4192,29.4239,-98.4933,2606.54
-2403009,-2403010,5,2606,3.18333,101.7,3.14526,101.697,4.24627
-2608431,-1456928,11,2599,51.5167,-0.0833333,48.8562,2.34764,342.699
419198,-1502554,11,2595,53.3267,-6.24472,53.3467,-6.259,2.41758
408663,-3092086,8,2582,24.6556,46.6983,26.2826,50.2027,395.567
-2960561,-1456928,11,2580,55.7522,37.6156,48.8562,2.34764,2486.43
-2608431,-1456928,4,2577,51.5167,-0.0833333,48.8562,2.34764,342.699
419198,-1502554,4,2576,53.3267,-6.24472,53.3467,-6.259,2.41758
408663,-755070,8,2575,24.6556,46.6983,41.0088,28.9682,2449.93
-73635,-2403010,12,2575,1.29306,103.856,3.14526,101.697,316.164
419198,-1502554,5,2574,53.3267,-6.24472,53.3467,-6.259,2.41758
-2960561,-1456928,6,2571,55.7522,37.6156,48.8562,2.34764,2486.43
-381535,-372490,7,2571,40.4,-3.68333,41.3871,2.17001,503.989
20019371,20014181,1,2570,41.0936,-73.4192,34.0522,-118.243,3982.25
408663,-785169,10,2569,24.6556,46.6983,25.2867,51.5333,492.367
-755070,-755070,2,2560,41.0088,28.9682,41.0088,28.9682,0
-1946324,-2620663,8,2560,53.9,27.5667,54.6893,25.2712,172.886
419198,-1502554,6,2553,53.3267,-6.24472,53.3467,-6.259,2.41758
-381535,-406131,3,2545,40.4,-3.68333,39.4698,-0.376542,300.291
419198,-1502554,2,2544,53.3267,-6.24472,53.3467,-6.259,2.41758
20019371,20015732,3,2540,41.0936,-73.4192,37.775,-122.418,4168.8
-2403009,-2403010,3,2536,3.18333,101.7,3.14526,101.697,4.24627
-2960561,-1995499,4,2526,55.7522,37.6156,48.2085,16.3728,1669.49
408663,900040280,5,2525,24.6556,46.6983,24.6399,46.7246,3.18002
-1456928,-2601889,3,2523,48.8562,2.34764,51.501,-0.126343,342.77
-2960561,-1456928,8,2516,55.7522,37.6156,48.8562,2.34764,2486.43
-372490,-372490,10,2515,41.3871,2.17001,41.3871,2.17001,0
-372490,-372490,1,2511,41.3871,2.17001,41.3871,2.17001,0
20019371,20015725,8,2509,41.0936,-73.4192,32.7125,-117.161,3956
20019371,20015732,1,2506,41.0936,-73.4192,37.775,-122.418,4168.8
20019371,20033173,3,2504,41.0936,-73.4192,41.8821,-87.6243,1185.11
408663,-3096949,2,2503,24.6556,46.6983,21.4225,39.8262,789.576
20019371,20023488,12,2502,41.0936,-73.4192,28.5353,-81.3833,1572.61
-2960561,-126693,8,2498,55.7522,37.6156,41.8959,12.4826,2376.37
20019371,20033173,12,2495,41.0936,-73.4192,41.8821,-87.6243,1185.11
-1354207,-1353149,4,2487,22.2833,114.15,22.2832,114.173,2.36652
-2880493,-1364995,5,2484,59.8667,30.25,60.1756,24.9342,297.264
-2403009,-2403010,7,2484,3.18333,101.7,3.14526,101.697,4.24627
343460,-3096949,7,2479,21.5503,39.2192,21.4225,39.8262,64.3923
-1746443,-1746443,6,2476,52.5204,13.4094,52.5204,13.4094,0
